"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"effect_size",0.5,34,1,0.421052631578947,0.916666666666667,60
"effect_size",0.5,35,1,0.410526315789474,0.918032786885246,61
"effect_size",0.5,36,0.8,0.663157894736842,0.888888888888889,36
"effect_size",0.5,37,0.8,0.494736842105263,0.923076923076923,52
"effect_size",0.5,38,1,0.315789473684211,0.928571428571429,70
"effect_size",0.5,39,0.8,0.463157894736842,0.927272727272727,55
"effect_size",0.5,40,1,0.526315789473684,0.9,50
"effect_size",0.5,41,1,0.294736842105263,0.930555555555556,72
"effect_size",0.5,42,1,0.452631578947368,0.912280701754386,57
"effect_size",0.5,43,1,0.368421052631579,0.923076923076923,65
"effect_size",0.5,44,0.6,0.326315789473684,0.955223880597015,67
"effect_size",0.5,45,0.8,0.284210526315789,0.944444444444444,72
"effect_size",0.5,46,1,0.442105263157895,0.913793103448276,58
"effect_size",0.5,47,0.6,0.642105263157895,0.918918918918919,37
"effect_size",0.5,48,0.6,0.652631578947368,0.916666666666667,36
"effect_size",0.5,49,0.8,0.410526315789474,0.933333333333333,60
"effect_size",0.5,50,0.8,0.642105263157895,0.894736842105263,38
"effect_size",1,1,0.8,0.368421052631579,0.9375,64
"effect_size",1,2,0.8,0.105263157894737,0.955056179775281,89
"effect_size",1,3,1,0.2,0.938271604938272,81
"effect_size",1,4,0.8,0.210526315789474,0.949367088607595,79
"effect_size",1,5,1,0.4,0.919354838709677,62
"effect_size",1,6,1,0.442105263157895,0.913793103448276,58
"effect_size",1,7,1,0.357894736842105,0.924242424242424,66
"effect_size",1,8,1,0.189473684210526,0.939024390243902,82
"effect_size",1,9,0.8,0.357894736842105,0.938461538461538,65
"effect_size",1,10,1,0.252631578947368,0.934210526315789,76
"effect_size",1,11,1,0.568421052631579,0.891304347826087,46
"effect_size",1,12,1,0.421052631578947,0.916666666666667,60
"effect_size",1,13,1,0.178947368421053,0.939759036144578,83
"effect_size",1,14,0.8,0.178947368421053,0.951219512195122,82
"effect_size",1,15,1,0.2,0.938271604938272,81
"effect_size",1,16,1,0.157894736842105,0.941176470588235,85
"effect_size",1,17,1,0.431578947368421,0.915254237288136,59
"effect_size",1,18,1,0.357894736842105,0.924242424242424,66
"effect_size",1,19,1,0.221052631578947,0.936708860759494,79
"effect_size",1,20,1,0.157894736842105,0.941176470588235,85
"effect_size",1,21,1,0.315789473684211,0.928571428571429,70
"effect_size",1,22,0.8,0.431578947368421,0.931034482758621,58
"effect_size",1,23,1,0.263157894736842,0.933333333333333,75
"effect_size",1,24,1,0.273684210526316,0.932432432432432,74
"effect_size",1,25,1,0.368421052631579,0.923076923076923,65
"effect_size",1,26,0.6,0.315789473684211,0.955882352941177,68
"effect_size",1,27,0.8,0.242105263157895,0.947368421052632,76
"effect_size",1,28,0.8,0.315789473684211,0.942028985507246,69
"effect_size",1,29,1,0.284210526315789,0.931506849315068,73
"effect_size",1,30,1,0.115789473684211,0.943820224719101,89
"effect_size",1,31,1,0.242105263157895,0.935064935064935,77
"effect_size",1,32,1,0.294736842105263,0.930555555555556,72
"effect_size",1,33,0.8,0.210526315789474,0.949367088607595,79
"effect_size",1,34,0.8,0.147368421052632,0.952941176470588,85
"effect_size",1,35,1,0.284210526315789,0.931506849315068,73
"effect_size",1,36,1,0.368421052631579,0.923076923076923,65
"effect_size",1,37,0.8,0.221052631578947,0.948717948717949,78
"effect_size",1,38,1,0.294736842105263,0.930555555555556,72
"effect_size",1,39,1,0.242105263157895,0.935064935064935,77
